B_cell__CD19-positive,CD16-negative__CD56-bright_natural_killer_cell,CD16-positive__CD56-dim_natural_killer_cell,T_cell/B_cell_doublet,T_follicular_helper_cell,alveolar_macrophage,central_memory_CD4-positive__alpha-beta_T_cell,central_memory_CD8-positive__alpha-beta_T_cell,classical_monocyte,cycling_T_or_natural_killer_cell,cycling_cell,dendritic_cell,effector_memory_CD4-positive__alpha-beta_T_cell,effector_memory_CD8-positive__alpha-beta_T_cell,erythroid_lineage_cell,gamma-delta_T_cell,germinal_center_B_cell,group_3_innate_lymphoid_cell,gut_tissue-resident__CD8-positive__memory_T_cell,macrophage,mast_cell,mature_alpha-beta_T_cell,megakaryocyte,memory_B_cell,mononuclear_phagocyte/B_cell_doublet,mononuclear_phagocyte/T_cell_doublet,mucosal_invariant_T_cell,naive_B_cell,non-classical_monocyte,plasma_cell,plasmablast,plasmacytoid_dendritic_cell,precursor_B_cell,pro-B_cell,progenitor_cell,regulatory_T_cell,tissue-resident_effector_memory_CD8-positive_T_cell,tissue-resident_memory_T-helper_1/17_cell,tissue-resident_memory_gamma-delta_T_cell
HLA-DQB1,BTG1,CFL1,MTATP6P1,TSC22D3,LRP1,RPL9P8,RPL11,NCF2,SMC3,NA,RAB31,RPL7A,CFL1,UQCRH,TMSB4X,TPI1,EEF1A1,ANXA1,IL1B,ASAH1,FYB1,CTSA,RPL18,FCER2,IFITM2,SYNE2,HLA-DMB,PLAUR,SIL1,MLEC,RAB11FIP1,SPI1,GMFG,LYZ,BTG2,PSME1,IFITM1,ZFP36L1
PARP1,DUSP2,SH2D2A,BLNK,STAT3,VAT1,RPS10,RPL7A,CFP,ANP32B,CENPW,CLEC7A,CD2,ARHGDIB,RPL14,CCL3,PTTG1,SATB1,BTG2,VIM,ANKRD28,NR4A2,ARPC1B,HLA-DRB1,LAPTM5,SERPINA1,TMSB4X,HLA-DQA1,ACTB,RPN1,DERL1,B4GALT1,PCBP2,IGHM,TXN,RTKN2,ITM2A,EML4,HSPH1
ST6GAL1,PDIA3,CTSC,HLA-DPA1,RPL37,HLA-DQB1,RPL23A,IFITM1,MPEG1,SLC25A5,NAA38,HLA-DMA,RPS8,LIME1,HMBS,RUNX3,SUMO2,AHR,ITM2B,GAPDH,SEPTIN2,STAT4,NCOA4,RPSA,CD40,MNDA,CLEC2B,PTPRCAP,CFD,SDC1,STMN1,TNFRSF21,VPREB1,SIAH2,COX5A,SEPTIN6,HSPA8,RGS1,LSP1
BLNK,CLDND1,PTPRCAP,IKZF3,BCL11B,SERPINA1,NA,RPL37A,FGL2,DNAJC9,CTSB,HLA-DQB1,ITGB1,CD52,UBAC1,HNRNPDL,GGA2,RPS24,IFNG,HCK,FOS,N4BP2L2,PLEK,RPL21,RPS18,TMEM176B,HSPA5,RPL12,PECAM1,ARSA,RPN1,MAPKAPK2,JUND,NR3C1,HNRNPAB,RPL24,C12orf57,ERN1,NR4A3
PKIG,MCTP2,SLC9A3R1,AFF3,NR3C1,FN1,RPL37A,RPS8,RNF130,SLC9A3R1,H2AJ,AP2S1,GIMAP7,ANXA6,ATP5MC1,ID2,SNRPG,TPT1,CD99,APOC1,SQSTM1,STK17B,NA,EEF1A1,RPL13,FCGRT,GBP5,SWAP70,ARPC3,DNAJC3,SSR1,CXCR3,RGS2,EIF3E,RPS7,LIMD2,TRAC,SH3BGRL3,ITGB7
CLECL1P,CHST12,NCR3,CD2,TRAC,MGST3,RPLP0,RPS14P1,TALDO1,IL32,BLOC1S1,ETV6,RPL17,PLEK,RPS5,HSP90AA1,DEK,TNFRSF4,XCL1,LGALS1,CLEC4OP,NFKBIZ,TALDO1,RPL36A,LYN,PLEK,FYN,RPS27,SERF2,NA,NA,RNASE6,WASF1,S1PR4,IGFBP7,GMFG,JUNB,HLA-B,MAP3K8
IFI30,TIGIT,PRKCH,IDS,SRSF5,GPX1,RPL4,RPS9,ARPC1B,LY6E,H1-10,HLA-DQA1,RPL22,PSMB9,RPS24,CCL4L2,RHOA,SKP1,STAT4,NAMPT,FTL,CD69,RAB27B,EEF2,CXCR4,MS4A7,CD3G,RPL26,TMEM176B,IGHG2,SEC13,THEMIS2,NA,YWHAQ,TUBB,ANKRD12,LYAR,TMSB4X,TRAC
LYN,PTPRC,SPN,HLA-DQA1,PLAAT4,FABP5,RPL36A,RPS24,SOD2,ANP32E,HCK,WARS1,INPP4B,HLA-B,RPL8,GUK1,TYMS,H2AC18,EIF1,CXCL8,RPS24,TC2N,ARHGAP18,RPL19,RPL37,CD63,ALOX5AP,SPIB,RHOG,NA,VOPP1,SEL1L3,HLA-DRA,CD9,RPLP2,RPS15,CCL4L2,LINC00869,KIR2DL4
HLA-DMB,DUSP1,NCR3,RCSD1,FOSB,NPC2,RPL17,RPLP2,ACTB,SNRPG,UBE2C,PEA15,RPLP2,RAP1B,COX5A,PDCD4,HNRNPA3,HNRNPA1,TRAC,SRGN,VAT1,ZAP70,MTPN,RPL34,HSP90AB1,MYL6,HOPX,HLA-DPA1,SLC7A7,H1-2,SLAMF7,DERL3,SLC25A6,ARHGDIB,SNRPG,PTPRC,CORO1A,PLAAT4,LCK
HLA-DPB1,PARP8,CX3CR1,NCF1,TRAT1,CD163,RPS9,RACK1,LST1,PSME2,NAMPT,ARPC3,TCF7,APOBEC3G,TPGS2,CD99,ARPC5,H2AC19,PTGES3,ANXA2,ARHGAP18,ARGLU1,LY6G6F,RPS27,RPL19,NCF2,UBC,HLA-DRB1,CLEC7A,LMAN2,TK1,H2AC18,RACK1,NA,RPL23,HNRNPA1,RNF213,LCP2,TPI1
